Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0024-Forgot Your Username,Chrome 70.0.3538.102,,2018-11-19 16:07:27,2018-11-19 16:08:05,37.391s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03001,Chrome 70.0.3538.102,,2018-11-19 16:07:28,2018-11-19 16:07:50,22.458s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:07:28,2018-11-19 16:07:40,12.214s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:07:40,2018-11-19 16:07:42,1.219s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:07:42,2018-11-19 16:07:50,7.982s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:50,2018-11-19 16:07:50,0.627s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03002,Chrome 70.0.3538.102,,2018-11-19 16:07:50,2018-11-19 16:07:55,5.135s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:07:50,2018-11-19 16:07:54,3.985s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:07:54,2018-11-19 16:07:55,0.585s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:55,2018-11-19 16:07:55,0.138s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:55,2018-11-19 16:07:55,0.102s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:55,2018-11-19 16:07:55,0.106s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03003,Chrome 70.0.3538.102,,2018-11-19 16:07:55,2018-11-19 16:07:56,0.504s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:07:56,2018-11-19 16:07:56,0.148s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:56,2018-11-19 16:07:56,0.152s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03004,Chrome 70.0.3538.102,,2018-11-19 16:07:56,2018-11-19 16:07:57,1.242s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:07:56,2018-11-19 16:07:56,0.324s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:07:56,2018-11-19 16:07:57,0.447s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:07:57,2018-11-19 16:07:57,0.103s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:07:57,2018-11-19 16:07:57,0.166s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03005,Chrome 70.0.3538.102,,2018-11-19 16:07:57,2018-11-19 16:08:00,3.045s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:07:57,2018-11-19 16:07:57,0.106s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:07:57,2018-11-19 16:07:58,0.352s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:07:58,2018-11-19 16:08:00,2.101s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:08:00,2018-11-19 16:08:00,0.176s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:08:00,2018-11-19 16:08:00,0.093s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03007,Chrome 70.0.3538.102,,2018-11-19 16:08:00,2018-11-19 16:08:04,3.557s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:08:00,2018-11-19 16:08:03,2.863s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 16:08:03,2018-11-19 16:08:04,0.488s,PASSED
