Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0018-Training,Chrome 70.0.3538.102,,2018-11-13 10:38:21,2018-11-13 10:39:00,39.219s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01901,Chrome 70.0.3538.102,,2018-11-13 10:38:21,2018-11-13 10:38:33,11.899s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-13 10:38:22,2018-11-13 10:38:33,11.510s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:33,2018-11-13 10:38:33,0.076s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01902,Chrome 70.0.3538.102,,2018-11-13 10:38:33,2018-11-13 10:38:37,3.830s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:34,2018-11-13 10:38:34,0.111s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:34,2018-11-13 10:38:34,0.154s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:34,2018-11-13 10:38:37,3.002s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.075s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.052s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.063s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.045s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.044s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.046s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.057s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01903,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:57,20.076s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:37,0.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:37,2018-11-13 10:38:38,0.090s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:38,2018-11-13 10:38:38,0.114s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:38,2018-11-13 10:38:40,2.707s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:40,2018-11-13 10:38:40,0.078s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:40,2018-11-13 10:38:43,2.759s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:43,2018-11-13 10:38:46,2.688s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:46,2018-11-13 10:38:46,0.103s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:46,2018-11-13 10:38:49,2.760s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:49,2018-11-13 10:38:51,2.689s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:51,2018-11-13 10:38:52,0.114s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:52,2018-11-13 10:38:54,2.723s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-13 10:38:54,2018-11-13 10:38:57,2.715s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:57,2018-11-13 10:38:57,0.085s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:57,2018-11-13 10:38:57,0.188s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01904,Chrome 70.0.3538.102,,2018-11-13 10:38:57,2018-11-13 10:38:59,1.705s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:38:57,2018-11-13 10:38:58,0.122s,PASSED
